rid,uid,role,feature,benefit,novelty_avg
11,5,worker,my smart home to be able to order delivery food by simple voice command,I can prepare dinner easily after a long day at work,Health,4.0000
12,5,home occupant,my smart home to turn on certain lights at dusk,I can come home to a well-lit house,Energy,1.5000
13,5,worker,my smart home to sync with my biorhythm app and turn on some music that might suit my mood when I arrive home from work,I can be relaxed,Entertainment,3.2500
14,16,tv fan,my smart home to to ring when my favorite shows are about to start,I will never miss a minute of my favorite shows,Entertainment,2.5000
15,9,student,Class Reminders,I won't be late for class,Energy,3.3333
17,5,home occupant,my smart home to regulate ideal temperature according to my personal preferences and the outside temperature,I can be comfortable,Energy,5.0000
18,16,working parent,my smart home to send me a text when my kid gets home from school,I can feel comfortable knowing that they made it home safely that day,Safety,3.0000
19,16,hockey fan,my smart home to play my team's goal home when they score,I can immerse myself in a full home sports experience,Entertainment,5.0000
20,5,parent,my smart home to keep me up to date about my children's activities when I'm out of the home,I can know they're safe and positively occupied,Safety,4.0000
21,5,parent,my smart home to send me a push notification when my kids arrive home from school,I can know they made it home safety,Safety,4.0000
22,16,cook,shut the stove off for me,I can work on other things while the food is cooking,Energy,2.7500
23,5,home occupant,my smart home to have a certain television show start on my TV when I arrive home,I can immediately jump into watching it.,Entertainment,3.3333
25,5,home occupant,my smart home to sync with my alarm in the morning to turn on the lights and shower when it's time for me to wake up,I can start my day more efficiently,Health,5.0000
26,16,home occupant,my smart home to shut off the sink after two minutes when brushing my teeth,I know I have brushed my teeth for at least the minimum required amount of time,Health,3.5000
27,16,parent,my smart home to lock the doors at night,my teenage children cannot sneak out,Safety,2.0000
28,5,home occupant,"my alarm to be synced to food preparation, so that my breakfast food can be on the table (or at least ready in the toaster or oven) when I'm ready to eat it",I can start my day more efficiently,Health,4.6667
29,9,music fan,Music available throughout the house,I don't have to limit my audio listening to a single room,Entertainment,3.0000
31,16,home occupant,my smart home to adjust the temperature based on the weather outside,I can save on my energy bill by not using the AC unnecessarily ,Energy,4.0000
33,5,driver,my smart home to open my garage door when it senses my vehicle arriving outside of it,I don't have to worry about carrying a remote control opener,Other,2.6667
34,16,home occupant,my smart home to shut the lights off for me in rooms with nobody in them,I can save on electricity on my bills,Energy,2.3333
35,17,home occupant,my smart home to have auto sprinklers,automatically watering of plants occurs,Energy,3.2500
37,13,home owner,my smart home to monitor my energy use and make recommendations to reduce energy consumption,I will save money on my energy bill.,Energy,1.6667
38,16,parent,my smart home to buzz my room if there is a disturbance in my baby's room,I can make sure I can be there in case my baby needs anything,Safety,1.5000
39,9,home owner,Control over Temperature at any time,I can save money on my electricity bill,Energy,1.0000
40,5,home occupant,an outdoor safety light to turn on at night when it senses something other than a family member or pet outside,I can feel safe.,Safety,3.0000
41,5,home occupant,my smart home to notify me when someone other than a family member or trusted other is near my home,my family can be safe,Safety,4.0000
43,13,home owner,"my smart home to calculate what heat sources would be the best for my home (ductless heat pump, regular furnace, space heaters, or any combination therof)",my home is comfortable and energy-efficient when the weather is cold outside.,Energy,2.0000
44,17,home occupant,hallway motion detectors,safety is increased,Safety,4.0000
45,5,home occupant,"my smart home to sync all Christmas-related lights, indoor and outdoor, and turn them on and off at the appropriate time",it's more convenient for me,Other,3.3333
47,5,home occupant,"my smart home to notify me when a box has been delivered at my home, preferably with the packaging information from the label",I can get easy status updates on package delivery,Other,4.0000
48,17,home occupant,automatic fragrance sprinkler,"as soon as it detects bad odour, it gets activated",Entertainment,4.5000
50,13,home owner,"my smart home to analyze and recommend the best sources to cool my home (air conditioning, window fan, ceiling fan, ductless heat pump, etc.)",I will be comfortable during hot days.,Energy,3.6667
52,9,home owner,a Carbon Monoxide detector ,my family is always kept safe from dangerous gasses ,Safety,4.0000
54,17,parent,automated sharp furniture sensors,"if my child nears such places, alarm goes off",Safety,3.5000
55,13,home owner,"my smart home to monitor anyone near my home's doors, windows, etc. and notify me if there is someone there who does not live in the home",I will be informed quickly if a potential intruder is at my home.,Safety,3.0000
58,17,pet owner,automated food bowl,it automatically replenishes itself at lunch time of pet,Health,2.2500
59,9,cook,Smart appliances that give me relevant information on the food i'm cooking,Food always gets cooked as much as it's needed,Health,4.0000
61,26,pet owner,to be notified via smartwatch application by my smarthome when my pet's water container is low,so that my pet will always be hydrated and better taken care of. ,Health,4.0000
62,17,home occupant,temprature sensors,temprature of house remains constant,Health,3.3333
63,13,home occupant,my smart home to inform me of any weather alerts for my area,"I can be warned of potential weather issues such as snow, high winds, etc.",Safety,1.6667
64,9,home resident,my smart home to have video camera's outside my home,I always know who is at my door before checking,Safety,3.0000
66,9,consumer,my smart home to provide news and updates on my hobbies,I can easily learn about new products I may be interested in,Entertainment,4.3333
67,26,plant owner,to be notified by my smarthome when my plant's soil becomes too dry ,so that I can prevent my plant from dying and therefore saving money by not having to keep purchasing new plants.,Health,5.0000
68,9,person with back pain,my bed to come with smart features that allow me to control comfort,I get the best night's sleep I can have,Health,4.5000
69,13,person who wants to stay healthy,my smart home to monitor my body and inform me daily or weekly when a potential health concern is noticed,so that I can be proactive and consider visiting a doctor or dentist to have the issue reviewd.,Health,3.0000
71,17,home occupant,automated music system ,it automatically detects my mood and plays background music according to it.,Entertainment,3.3333
72,26,home owner,"to be notified by my smarthome when my energy consumption (electricity, gas) is higher than usual",I can adjust accordingly and save money on energy bills.,Energy,3.3333
73,13,person who wants to stay healthy,"my smart home to make daily recommendations of activities or foods that are good for me, i.e. ""the weather is perfect for a nice walk today""","I can be reminded of my health goals, and good ways to achieve them.",Health,3.5000
75,26,home owner,to be alerted when a window is smashed or forced opened from outside the house,I can prepare for an intruder and call the police. ,Safety,3.0000
76,17,parent,socket adapters,accidental shocks are avoided,Safety,4.0000
77,22,home owner,to control my stovetops with my smartphone or tablet ,if i am in another room and need to lower the temperature I am able to do that,Safety,4.0000
78,26,music appreciator,the ability to listen to my music in every room in the house simultaneously,parties will be funner and my party guests will be better entertained.,Entertainment,4.5000
80,22,home owner,to be able to control the oven with an app on my smartphone or tablet,I may preheat the oven from another room or lower the temperature if needed without having to go to the actual appliance,Safety,5.0000
82,13,person who needs sleep,"my smart home to make my bedroom the optimal temperature and lighting both when I go to sleep, and when I awaken",I will have the optimal conditions for a good night's sleep.,Health,3.0000
83,17,home occupant,outdoor motion sensors,Trespassers can be identified,Safety,4.0000
84,22,home owner,to be able to open the garage door with my smartphone/tablet,I don't have to go down to the garage to close it if I forget ,Safety,4.0000
85,14,student,"my smartphone to silence notifications (sounds, doorbells, TVs, etc.) unless it is an emergency",I can study,Health,2.3333
86,17,home occupant,air purity controller,it detects pollution and sensors get active ,Health,3.3333
87,13,movie watcher,my smart home to make recommendations when new movies come out that match my viewing habits,I will benefit from movie suggestions that I will probably enjoy.,Entertainment,4.5000
