rid,uid,role,feature,benefit,novelty_avg,ustories,stories
5,worker,my smart home to be able to order delivery food by simple voice command,I can prepare dinner easily after a long day at work,Health,4.0,my smart home to be able to order delivery food by simple voice command i can prepare dinner easily after a long day at work health,"['able', 'order', 'delivery', 'food', 'simple', 'voice', 'command', 'prepare', 'dinner', 'easily', 'long', 'day', 'work', 'health']"
5,home occupant,my smart home to turn on certain lights at dusk,I can come home to a well-lit house,Energy,1.5,my smart home to turn on certain lights at dusk i can come home to a well-lit house energy,"['turn', 'certain', 'light', 'dusk', 'come', 'well-lit', 'energy']"
5,worker,my smart home to sync with my biorhythm app and turn on some music that might suit my mood when I arrive home from work,I can be relaxed,Entertainment,3.25,my smart home to sync with my biorhythm app and turn on some music that might suit my mood when i arrive home from work i can be relaxed entertainment,"['sync', 'biorhythm', 'app', 'turn', 'music', 'suit', 'mood', 'arrive', 'work', 'relaxed', 'entertainment']"
16,tv fan,my smart home to to ring when my favorite shows are about to start,I will never miss a minute of my favorite shows,Entertainment,2.5,my smart home to to ring when my favorite shows are about to start i will never miss a minute of my favorite shows entertainment,"['ring', 'favorite', 'show', 'start', 'never', 'miss', 'minute', 'favorite', 'show', 'entertainment']"
9,student,Class Reminders,I won't be late for class,Energy,3.3333,class reminders i won't be late for class energy,"['class', 'reminder', 'late', 'class', 'energy']"
5,home occupant,my smart home to regulate ideal temperature according to my personal preferences and the outside temperature,I can be comfortable,Energy,5.0,my smart home to regulate ideal temperature according to my personal preferences and the outside temperature i can be comfortable energy,"['regulate', 'ideal', 'temperature', 'accord', 'personal', 'preference', 'outside', 'temperature', 'comfortable', 'energy']"
16,working parent,my smart home to send me a text when my kid gets home from school,I can feel comfortable knowing that they made it home safely that day,Safety,3.0,my smart home to send me a text when my kid gets home from school i can feel comfortable knowing that they made it home safely that day safety,"['send', 'text', 'kid', 'get', 'school', 'feel', 'comfortable', 'know', 'make', 'safely', 'day', 'safety']"
16,hockey fan,my smart home to play my team's goal home when they score,I can immerse myself in a full home sports experience,Entertainment,5.0,my smart home to play my team's goal home when they score i can immerse myself in a full home sports experience entertainment,"['play', 'team', 'goal', 'score', 'immerse', 'full', 'sport', 'experience', 'entertainment']"
5,parent,my smart home to keep me up to date about my children's activities when I'm out of the home,I can know they're safe and positively occupied,Safety,4.0,my smart home to keep me up to date about my children's activities when i'm out of the home i can know they're safe and positively occupied safety,"['keep', 'date', 'child', 'activity', ""'m"", 'know', ""'re"", 'safe', 'positively', 'occupy', 'safety']"
5,parent,my smart home to send me a push notification when my kids arrive home from school,I can know they made it home safety,Safety,4.0,my smart home to send me a push notification when my kids arrive home from school i can know they made it home safety safety,"['send', 'push', 'notification', 'kid', 'arrive', 'school', 'know', 'make', 'safety', 'safety']"
16,cook,shut the stove off for me,I can work on other things while the food is cooking,Energy,2.75,shut the stove off for me i can work on other things while the food is cooking energy,"['shut', 'stove', 'work', 'thing', 'food', 'cooking', 'energy']"
5,home occupant,my smart home to have a certain television show start on my TV when I arrive home,I can immediately jump into watching it.,Entertainment,3.3333,my smart home to have a certain television show start on my tv when i arrive home i can immediately jump into watching it. entertainment,"['certain', 'television', 'show', 'start', 'tv', 'arrive', 'immediately', 'jump', 'watch', 'entertainment']"
5,home occupant,my smart home to sync with my alarm in the morning to turn on the lights and shower when it's time for me to wake up,I can start my day more efficiently,Health,5.0,my smart home to sync with my alarm in the morning to turn on the lights and shower when it's time for me to wake up i can start my day more efficiently health,"['sync', 'alarm', 'morning', 'turn', 'light', 'shower', 'time', 'wake', 'start', 'day', 'efficiently', 'health']"
16,home occupant,my smart home to shut off the sink after two minutes when brushing my teeth,I know I have brushed my teeth for at least the minimum required amount of time,Health,3.5,my smart home to shut off the sink after two minutes when brushing my teeth i know i have brushed my teeth for at least the minimum required amount of time health,"['shut', 'sink', 'minute', 'brushing', 'teeth', 'know', 'brush', 'least', 'minimum', 'require', 'amount', 'time', 'health']"
16,parent,my smart home to lock the doors at night,my teenage children cannot sneak out,Safety,2.0,my smart home to lock the doors at night my teenage children cannot sneak out safety,"['lock', 'door', 'night', 'teenage', 'child', 'sneak', 'safety']"
5,home occupant,"my alarm to be synced to food preparation, so that my breakfast food can be on the table (or at least ready in the toaster or oven) when I'm ready to eat it",I can start my day more efficiently,Health,4.6667,"my alarm to be synced to food preparation, so that my breakfast food can be on the table (or at least ready in the toaster or oven) when i'm ready to eat it i can start my day more efficiently health","['alarm', 'sync', 'food', 'preparation', 'breakfast', 'food', 'table', 'least', 'ready', 'toaster', 'oven', ""'m"", 'ready', 'eat', 'start', 'day', 'efficiently', 'health']"
9,music fan,Music available throughout the house,I don't have to limit my audio listening to a single room,Entertainment,3.0,music available throughout the house i don't have to limit my audio listening to a single room entertainment,"['music', 'available', 'limit', 'audio', 'listen', 'single', 'room', 'entertainment']"
16,home occupant,my smart home to adjust the temperature based on the weather outside,I can save on my energy bill by not using the AC unnecessarily ,Energy,4.0,my smart home to adjust the temperature based on the weather outside i can save on my energy bill by not using the ac unnecessarily  energy,"['adjust', 'temperature', 'base', 'weather', 'outside', 'save', 'energy', 'bill', 'use', 'ac', 'unnecessarily', 'energy']"
5,driver,my smart home to open my garage door when it senses my vehicle arriving outside of it,I don't have to worry about carrying a remote control opener,Other,2.6667,my smart home to open my garage door when it senses my vehicle arriving outside of it i don't have to worry about carrying a remote control opener other,"['open', 'garage', 'door', 'sens', 'vehicle', 'arrive', 'outside', 'worry', 'carry', 'remote', 'control', 'opener']"
16,home occupant,my smart home to shut the lights off for me in rooms with nobody in them,I can save on electricity on my bills,Energy,2.3333,my smart home to shut the lights off for me in rooms with nobody in them i can save on electricity on my bills energy,"['shut', 'light', 'room', 'nobody', 'save', 'electricity', 'bill', 'energy']"
17,home occupant,my smart home to have auto sprinklers,automatically watering of plants occurs,Energy,3.25,my smart home to have auto sprinklers automatically watering of plants occurs energy,"['auto', 'sprinkler', 'water', 'plant', 'occurs', 'energy']"
13,home owner,my smart home to monitor my energy use and make recommendations to reduce energy consumption,I will save money on my energy bill.,Energy,1.6667,my smart home to monitor my energy use and make recommendations to reduce energy consumption i will save money on my energy bill. energy,"['monitor', 'energy', 'use', 'make', 'recommendation', 'reduce', 'energy', 'consumption', 'save', 'money', 'energy', 'bill', 'energy']"
16,parent,my smart home to buzz my room if there is a disturbance in my baby's room,I can make sure I can be there in case my baby needs anything,Safety,1.5,my smart home to buzz my room if there is a disturbance in my baby's room i can make sure i can be there in case my baby needs anything safety,"['buzz', 'room', 'disturbance', 'baby', 'room', 'make', 'sure', 'case', 'baby', 'need', 'anything', 'safety']"
9,home owner,Control over Temperature at any time,I can save money on my electricity bill,Energy,1.0,control over temperature at any time i can save money on my electricity bill energy,"['control', 'temperature', 'time', 'save', 'money', 'electricity', 'bill', 'energy']"
5,home occupant,an outdoor safety light to turn on at night when it senses something other than a family member or pet outside,I can feel safe.,Safety,3.0,an outdoor safety light to turn on at night when it senses something other than a family member or pet outside i can feel safe. safety,"['outdoor', 'safety', 'light', 'turn', 'night', 'sens', 'something', 'family', 'member', 'pet', 'feel', 'safe', 'safety']"
5,home occupant,my smart home to notify me when someone other than a family member or trusted other is near my home,my family can be safe,Safety,4.0,my smart home to notify me when someone other than a family member or trusted other is near my home my family can be safe safety,"['notify', 'someone', 'family', 'member', 'trust', 'family', 'safe', 'safety']"
